musteri_id,yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
1001,56,31111.0,37,1.0,Antalya,Premium,0
1002,46,57504.0,23,6.0,İstanbul,Standart,1
1003,32,,58,1.0,İstanbul,Premium,0
1004,60,28155.0,10,1.0,İstanbul,Premium,0
1005,25,93656.0,54,2.0,Ankara,Standart,0
1006,38,59384.0,5,2.0,Bursa,Standart,1
1007,56,67254.0,36,1.0,İstanbul,Standart,0
1008,36,41918.0,34,2.0,İzmir,Standart,1
1009,40,105981.0,52,1.0,Ankara,Standart,0
1010,28,,31,0.0,Ankara,Standart,0
1011,28,50306.0,10,4.0,Ankara,Gold,1
1012,41,36646.0,58,2.0,İstanbul,Standart,0
1013,53,66843.0,19,4.0,Ankara,Standart,1
1014,57,116601.0,58,4.0,Ankara,Premium,0
1015,41,110735.0,32,0.0,İstanbul,Standart,0
1016,20,36371.0,1,1.0,Ankara,Gold,1
1017,39,97371.0,56,0.0,İstanbul,Premium,0
1018,19,,5,6.0,Ankara,Premium,1
1019,41,51616.0,45,2.0,Ankara,Standart,0
1020,61,40932.0,4,1.0,Ankara,Standart,1
1021,47,49855.0,16,3.0,İzmir,Standart,1
1022,55,81434.0,24,1.0,İstanbul,Premium,0
1023,19,,16,3.0,İzmir,Standart,1
1024,38,63016.0,55,2.0,İstanbul,Standart,0
1025,50,27400.0,2,,İstanbul,Gold,1
1026,29,62642.0,49,7.0,Bursa,Standart,1
1027,39,35151.0,28,1.0,İstanbul,Standart,0
1028,61,71407.0,32,3.0,Ankara,Standart,0
1029,42,86690.0,27,6.0,Ankara,Gold,1
1030,44,24499.0,20,0.0,İstanbul,Standart,1
1031,59,,24,2.0,İstanbul,Premium,0
1032,45,,12,3.0,İstanbul,Premium,1
1033,33,32183.0,50,3.0,Bursa,Standart,1
1034,32,49299.0,35,5.0,Ankara,Premium,1
1035,64,32874.0,33,2.0,İstanbul,Standart,1
1036,61,,33,1.0,Ankara,Standart,0
1037,20,25539.0,51,4.0,İzmir,Premium,1
1038,54,73351.0,43,2.0,İstanbul,Gold,0
1039,24,81267.0,37,3.0,Ankara,Premium,0
1040,38,68354.0,12,1.0,Ankara,Premium,0
1041,26,22557.0,3,1.0,Antalya,Standart,1
1042,56,58360.0,1,4.0,İstanbul,Standart,1
1043,35,102018.0,33,3.0,İstanbul,Standart,0
1044,21,22200.0,40,1.0,İstanbul,Standart,1
1045,42,88497.0,10,3.0,Ankara,Standart,1
1046,31,66975.0,43,3.0,İstanbul,Standart,0
1047,26,41357.0,44,2.0,Ankara,Standart,1
1048,43,97505.0,29,1.0,İzmir,Standart,0
1049,19,22869.0,13,2.0,İzmir,Premium,1
1050,37,81135.0,12,3.0,Ankara,Premium,0
1051,45,70108.0,31,4.0,Bursa,Standart,1
1052,64,114179.0,46,,Ankara,Gold,0
1053,24,110272.0,2,2.0,Ankara,Gold,0
1054,61,58467.0,51,1.0,İstanbul,Standart,0
1055,25,43328.0,50,2.0,Antalya,Premium,0
1056,64,111412.0,35,1.0,İstanbul,Premium,0
1057,52,106831.0,23,1.0,İstanbul,Premium,0
1058,31,23987.0,17,,İstanbul,Standart,1
1059,34,,26,0.0,Ankara,Premium,0
1060,53,42399.0,8,5.0,İstanbul,Standart,1
1061,57,66214.0,29,6.0,İstanbul,Premium,1
1062,21,119522.0,26,4.0,İstanbul,Premium,0
1063,19,106416.0,10,4.0,İstanbul,Premium,1
1064,23,90271.0,26,4.0,Ankara,Premium,0
1065,59,64064.0,34,3.0,İzmir,Premium,0
1066,21,90091.0,51,1.0,İstanbul,Standart,0
1067,46,60818.0,41,1.0,Ankara,Standart,0
1068,35,65525.0,7,1.0,İzmir,Premium,1
1069,43,39830.0,4,2.0,İstanbul,Standart,1
1070,61,37429.0,58,5.0,İstanbul,Standart,0
1071,51,26893.0,53,3.0,Antalya,Standart,1
1072,27,99909.0,50,5.0,Ankara,Standart,0
1073,53,67333.0,45,3.0,İstanbul,Gold,0
1074,31,,11,5.0,Ankara,Premium,1
